Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,Custom17,IV%
J,JACOBS SOLUTIONS INC,"15,501 M",Industrials,Professional Services,Research & Consulting Services,loading,19.0
JBHT,J B HUNT TRANSPORT SERVICES INC,"18,674 M",Industrials,Road & Rail,Trucking,loading,11.0
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,"45,975 M",Industrials,Building Products,Building Products,loading,20.0
JKHY,"JACK HENRY & ASSOCIATES, INC.","13,865 M",Information Technology,IT Services,Data Processing & Outsourced Services,loading,4.0
JNJ,JOHNSON & JOHNSON,"462,790 M",Health Care,Pharmaceuticals,Pharmaceuticals,loading,0.0
JNPR,JUNIPER NETWORKS INC,"10,298 M",Information Technology,Communications Equipment,Communications Equipment,loading,32.0
JPM,JPMORGAN CHASE & CO.,"400,323 M",Financials,Banks,Diversified Banks,loading,4.0
K,KELLOGG COMPANY,"24,746 M",Consumer Staples,Food Products,Packaged Foods & Meats,loading,9.0
KEY,KEYCORP,"17,652 M",Financials,Banks,Regional Banks,loading,19.0
KEYS,KEYSIGHT TECHNOLOGIES INC,"31,423 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,loading,8.0
KHC,KRAFT HEINZ CO,"47,650 M",Consumer Staples,Food Products,Packaged Foods & Meats,loading,1.0
KIM,KIMCO REALTY CORPORATION,"13,996 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,loading,21.0
KLAC,KLA CORP,"54,651 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,loading,8.0
KMB,KIMBERLY-CLARK CORPORATION,"45,224 M",Consumer Staples,Household Products,Household Products,loading,8.0
KMI,KINDER MORGAN INCORPORATED,"41,920 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,loading,8.0
KMX,"CARMAX, INC.","10,522 M",Consumer Discretionary,Specialty Retail,Automotive Retail,loading,46.0
KO,COCA-COLA CO,"270,844 M",Consumer Staples,Beverages,Soft Drinks,loading,0.0
KR,KROGER CO,"34,244 M",Consumer Staples,Food & Staples Retailing,Food Retail,loading,54.0
L,LOEWS CORPORATION,"13,607 M",Financials,Insurance,Property & Casualty Insurance,loading,24.0
LDOS,LEIDOS HOLDINGS INC,"14,698 M",Industrials,Professional Services,Research & Consulting Services,loading,15.0
LEN,LENNAR CORPORATION,"25,174 M",Consumer Discretionary,Household Durables,Homebuilding,loading,25.0
LH,LABORATORY CORPORATION OF AMERICA HOLDINGS,"21,112 M",Health Care,Health Care Providers & Services,Health Care Services,loading,9.0
LHX,L3HARRIS TECHNOLOGIES INC,"43,113 M",Industrials,Aerospace & Defense,Aerospace & Defense,loading,41.0
LIN,LINDE PLC,"169,503 M",Materials,Chemicals,Industrial Gases,loading,14.0
LKQ,LKQ CORPORATION,"14,652 M",Consumer Discretionary,Distributors,Distributors,loading,3.0
LLY,ELI LILLY AND COMPANY,"343,698 M",Health Care,Pharmaceuticals,Pharmaceuticals,loading,27.0
LMT,LOCKHEED MARTIN CORPORATION,"126,076 M",Industrials,Aerospace & Defense,Aerospace & Defense,loading,11.0
LNC,LINCOLN NATIONAL CORPORATION,"6,555 M",Financials,Insurance,Life & Health Insurance,loading,35.0
LNT,ALLIANT ENERGY CORPORATION,"14,050 M",Utilities,Electric Utilities,Electric Utilities,loading,36.0
LOW,LOWE'S COMPANIES INC.,"128,933 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail,loading,33.0
LRCX,LAM RESEARCH CORPORATION,"62,925 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,loading,29.0
LUMN,LUMEN TECHNOLOGIES INC,"6,083 M",Communication Services,Diversified Telecommunication Services,Alternative Carriers,loading,73.0
LUV,SOUTHWEST AIRLINES CO.,"22,937 M",Industrials,Airlines,Airlines,loading,0.0
LVS,LAS VEGAS SANDS CORP.,"32,905 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,loading,24.0
LW,LAMB WESTON HOLDINGS INC,"12,427 M",Consumer Staples,Food Products,Packaged Foods & Meats,loading,2.0
LYB,<empty>,"28,684 M",Materials,Chemicals,Commodity Chemicals,loading,19.0
LYV,LIVE NATION ENTERTAINMENT INCORPORATION,"15,834 M",Communication Services,Entertainment,Movies & Entertainment,loading,19.0
