Watchlist 'S&P 500 Sectors & Industries'

S&P 500 Sectors & Industries
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry,%IV_Change,IV_PERC
$SP500#25201010,S&P 500 Consumer Electronics (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#2520TR,S&P 500 Consumer Durables & Apparel (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2520,S&P 500 Consumer Durables & Apparel (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#15102010,S&P 500 Construction Materials (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#151020,S&P 500 Construction Materials (Industry),<empty>,0,,,,NaN,NaN
$SP500#20106010,S&P 500 Construction Machinery & Heavy Trucks (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20103010,S&P 500 Construction & Engineering (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201030,S&P 500 Construction & Engineering (Industry),<empty>,0,,,,NaN,NaN
$SP500#25504020,S&P 500 Computer & Electronics Retail (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#45201020,S&P 500 Communications Equipment (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#452010,S&P 500 Communications Equipment (Industry),<empty>,0,,,,NaN,NaN
$SP500#15101010,S&P 500 Commodity Chemicals (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#202010,S&P 500 Commercial Services & Supplies (Industry),<empty>,0,,,,NaN,NaN
$SP500#2020TR,S&P 500 Commercial & Professional Services (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2020,S&P 500 Commercial & Professional Services (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#151010,S&P 500 Chemicals (Industry),<empty>,0,,,,NaN,NaN
$SP500#25301010,S&P 500 Casinos & Gaming (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#402030,S&P 500 Capital Markets (Industry),<empty>,0,,,,NaN,NaN
$SP500#2010TR,S&P 500 Capital Goods (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2010,S&P 500 Capital Goods (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#50201030,S&P 500 Cable & Satellite (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20102010,S&P 500 Building Products (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201020,S&P 500 Building Products (Industry),<empty>,0,,,,NaN,NaN
$SP500#50201020,S&P 500 Broadcasting (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#30201010,S&P 500 Brewers (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#35201010,S&P 500 Biotechnology (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#352010,S&P 500 Biotechnology (Industry),<empty>,0,,,,NaN,loading
$SP500#302010,S&P 500 Beverages (Industry),<empty>,0,,,,NaN,NaN
$SP500#401010,S&P 500 Banks (Industry),<empty>,0,,,,NaN,NaN
$SP500#4010TR,S&P 500 Banks (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#4010,S&P 500 Banks (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#25504050,S&P 500 Automotive Retail (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#251020,S&P 500 Automobiles (Industry),<empty>,0,,,,NaN,NaN
$SP500#2510TR,S&P 500 Automobiles & Components (Industry Group) (TR),<empty>,0,,,,NaN,loading
$SP500#2510,S&P 500 Automobiles & Components (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#25102010,S&P 500 Automobile Manufacturers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25101010,S&P 500 Auto Parts & Equipment (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#251010,S&P 500 Auto Components (Industry),<empty>,0,,,,NaN,NaN
$SP500#40203010,S&P 500 Asset Management & Custody Banks (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#45103010,S&P 500 Application Software (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25203010,"S&P 500 Apparel, Accessories & Luxury Goods (Sub Ind)",<empty>,0,,,,NaN,NaN
$SP500#25504010,S&P 500 Apparel Retail (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#50101010,S&P 500 Alternative Carriers (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20302010,S&P 500 Airlines (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#203020,S&P 500 Airlines (Industry),<empty>,0,,,,NaN,NaN
$SP500#20301010,S&P 500 Air Freight & Logistics (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#203010,S&P 500 Air Freight & Logistics (Industry),<empty>,0,,,,NaN,NaN
$SP500#30202010,S&P 500 Agricultural Products (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20106015,S&P 500 Agricultural & Farm Machinery (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#20101010,S&P 500 Aerospace & Defense (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#201010,S&P 500 Aerospace & Defense (Industry),<empty>,0,,,,NaN,NaN
$SP500#50201010,S&P 500 Advertising (Sub Ind),<empty>,0,,,,NaN,NaN
