Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
KHC,KRAFT HEINZ CO COM,KRAFT HEINZ CO,"44,494 M",Consumer Staples,Food Products,Packaged Foods & Meats
KIM,KIMCO REALTY CORP COM USD0.01,KIMCO REALTY CORPORATION,"14,131 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
KLAC,KLA CORPORATION COM,KLA CORP,"54,103 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
KMB,KIMBERLY CLARK CORP COM,KIMBERLY-CLARK CORPORATION,"44,269 M",Consumer Staples,Household Products,Household Products
KMI,KINDER MORGAN INC COM,KINDER MORGAN INCORPORATED,"45,134 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
KMX,CARMAX INC COM,"CARMAX, INC.","15,399 M",Consumer Discretionary,Specialty Retail,Automotive Retail
KO,COCA-COLA CO COM,COCA-COLA CO,"273,804 M",Consumer Staples,Beverages,Soft Drinks
KR,KROGER CO COM,KROGER CO,"38,206 M",Consumer Staples,Food & Staples Retailing,Food Retail
L,LOEWS CORP COM,LOEWS CORPORATION,"15,936 M",Financials,Insurance,Property & Casualty Insurance
LDOS,LEIDOS HOLDINGS INC COM,LEIDOS HOLDINGS INC,"14,399 M",Industrials,Professional Services,Research & Consulting Services
LEN,LENNAR CORP COM CL A,LENNAR CORPORATION,"23,684 M",Consumer Discretionary,Household Durables,Homebuilding
LH,LABORATORY CORP AMER HLDGS COM,LABORATORY CORPORATION OF AMERICA HOLDINGS,"22,591 M",Health Care,Health Care Providers & Services,Health Care Services
LHX,L3 HARRIS TECHNOLOGIES INC COM,L3HARRIS TECHNOLOGIES INC,"46,516 M",Industrials,Aerospace & Defense,Aerospace & Defense
LIN,LINDE PLC COM,LINDE PLC,"167,189 M",Materials,Chemicals,Industrial Gases
LKQ,LKQ CORPORATION COM,LKQ CORPORATION,"14,416 M",Consumer Discretionary,Distributors,Distributors
LLY,ELI LILLY AND COMPANY COM,ELI LILLY AND COMPANY,"289,271 M",Health Care,Pharmaceuticals,Pharmaceuticals
LMT,LOCKHEED MARTIN CORP COM,LOCKHEED MARTIN CORPORATION,"118,258 M",Industrials,Aerospace & Defense,Aerospace & Defense
LNC,LINCOLN NATIONAL CORP COM,LINCOLN NATIONAL CORPORATION,"9,557 M",Financials,Insurance,Life & Health Insurance
LNT,ALLIANT ENERGY CORP COM,ALLIANT ENERGY CORPORATION,"15,656 M",Utilities,Electric Utilities,Electric Utilities
LOW,LOWE'S COMPANIES INC COM,LOWE'S COMPANIES INC.,"124,662 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail
LRCX,LAM RESEARCH CORP COM,LAM RESEARCH CORPORATION,"71,367 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
LUMN,LUMEN TECHNOLOGIES INC COM,LUMEN TECHNOLOGIES INC,"12,113 M",Communication Services,Diversified Telecommunication Services,Alternative Carriers
LUV,SOUTHWEST AIRLINES CO COM,SOUTHWEST AIRLINES CO.,"25,989 M",Industrials,Airlines,Airlines
LVS,LAS VEGAS SANDS CORP COM,LAS VEGAS SANDS CORP.,"26,667 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
LW,LAMB WESTON HLDGS INC COM,LAMB WESTON HOLDINGS INC,"9,821 M",Consumer Staples,Food Products,Packaged Foods & Meats
LYB,LYONDELLBASELL INDUSTRIES N V COM,<empty>,"35,184 M",Materials,Chemicals,Commodity Chemicals
LYV,LIVE NATION ENTERTAINMENT INC COM,LIVE NATION ENTERTAINMENT INCORPORATION,"21,748 M",Communication Services,Entertainment,Movies & Entertainment
MA,MASTERCARD INCORPORATED COM CL A,"MASTERCARD, INC.","348,557 M",Information Technology,IT Services,Data Processing & Outsourced Services
MAA,MID-AMERICA APARTMENT COMMUNIT COM USD0.01,MID-AMERICA APARTMENT COMMUNITIES,"20,560 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
MAR,MARRIOTT INTERNATIONAL INC COM CL A,"MARRIOTT INTERNATIONAL, INC.","56,613 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
MAS,MASCO CORP COM,MASCO CORPORATION,"13,437 M",Industrials,Building Products,Building Products
MCD,MCDONALD'S CORPORATION COM,MCDONALD'S CORP,"184,354 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
MCHP,MICROCHIP TECHNOLOGY COM,MICROCHIP TECHNOLOGY INCORPORATION,"39,808 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
MCK,MCKESSON CORPORATION COM,MCKESSON CORPORATION,"46,305 M",Health Care,Health Care Providers & Services,Health Care Distributors
MCO,MOODYS CORP COM,MOODY'S CORPORATION,"52,313 M",Financials,Capital Markets,Financial Exchanges & Data
MDLZ,MONDELEZ INTL INC COM CL A,MONDELEZ INTERNATIONAL INCORPORATED,"86,391 M",Consumer Staples,Food Products,Packaged Foods & Meats
